Date,AGIX,AMT,BRK-B,CAT,COST,GE,GLD,JNJ,MSFT,MU,NEE,NVDA,PLD,SPY,UNH,V,VTRS,XLP,XOM
2024-10-04,25.14886474609375,208.5330810546875,461.9700012207031,387.4148254394531,874.8934326171875,185.21640014648438,245.0,152.59764099121094,410.3607482910156,101.61096954345703,79.6418685913086,124.72510528564453,115.41499328613281,561.446044921875,567.1129150390625,274.3106994628906,10.758089065551758,77.72673797607422,117.83879852294922
2024-10-07,24.95196533203125,208.26268005371094,453.5,388.5465393066406,865.4620971679688,184.10757446289062,244.1699981689453,151.87411499023438,403.9300842285156,102.3819808959961,76.26053619384766,127.52073669433594,113.13347625732422,556.3704223632812,559.7842407226562,270.2246398925781,10.51675033569336,76.95396423339844,118.34855651855469
2024-10-08,25.349699020385742,209.1111297607422,453.79998779296875,378.50726318359375,882.1353759765625,185.60252380371094,242.3699951171875,152.0264129638672,409.0292663574219,102.01387023925781,76.45999145507812,132.68267822265625,112.51123809814453,561.6322631835938,557.8849487304688,271.37939453125,10.507468223571777,77.33556365966797,115.20504760742188
2024-10-09,25.687379837036133,207.3455352783203,455.8999938964844,386.5367126464844,900.6416015625,187.3944854736328,241.0500030517578,152.9403533935547,411.7416076660156,101.17819213867188,76.53597259521484,132.4430694580078,112.03984832763672,565.5223999023438,567.1321411132812,273.3236999511719,10.591010093688965,77.80306243896484,115.25225830078125
2024-10-10,25.85474395751953,204.6407470703125,454.92999267578125,386.9757995605469,885.3154907226562,186.24603271484375,242.82000732421875,152.8070831298828,410.143798828125,105.14769744873047,76.87791442871094,134.59970092773438,111.51189422607422,564.53271484375,573.3480224609375,273.8567199707031,10.51675033569336,77.4596176147461,116.24344635009766
2024-10-11,25.93645668029785,205.92742919921875,460.2099914550781,392.2246398925781,880.7584228515625,189.2557373046875,245.47000122070312,153.7115020751953,410.61724853515625,106.37140655517578,77.75174713134766,134.5897216796875,113.35974884033203,567.9132080078125,573.6837158203125,274.2218933105469,10.563161849975586,77.88893127441406,116.6871337890625
2024-10-14,26.182579040527344,208.2095489501953,459.9800109863281,384.351318359375,881.4816284179688,190.71112060546875,245.07000732421875,153.84478759765625,413.39862060546875,107.78411865234375,78.74903869628906,137.85459899902344,113.56715393066406,572.557861328125,580.7343139648438,277.0248718261719,10.572443962097168,78.20376586914062,117.13080596923828
2024-10-15,25.66178321838379,215.46917724609375,462.67999267578125,378.53656005859375,886.2865600585938,188.671630859375,245.9199981689453,156.2248077392578,413.0040588378906,103.78475189208984,78.63507843017578,131.3946990966797,114.44393157958984,568.1093139648438,533.6251831054688,275.65301513671875,10.990144729614258,78.69987487792969,113.60971069335938
2024-10-16,25.664737701416016,213.67539978027344,465.69000244140625,384.02935791015625,879.123779296875,190.2655792236328,247.14999389648438,156.39614868164062,410.41998291015625,108.67948150634766,80.15476989746094,135.5082550048828,119.70465087890625,570.5785522460938,548.0621337890625,283.77581787109375,10.971578598022461,78.64261627197266,113.90235137939453
2024-10-17,25.85966682434082,210.51983642578125,465.8500061035156,384.878173828125,877.05322265625,190.7012176513672,248.6300048828125,156.57704162597656,411.0117492675781,111.4750747680664,79.57538604736328,136.71636962890625,115.6789779663086,570.6275024414062,542.9684448242188,286.60845947265625,10.869476318359375,78.28962707519531,113.60971069335938
